transaction_time,ticker,transaction_type,price,size,position_before,position_after,modelled_price,max_bid,min_ask,return,expected_return,pl,expected_pl
2020-11-24 09:00:00,FXY1 KMS1 Index,b,350.13,1000000.0,0,1,350.8254362027664,350.47461076656367,351.17626163896915,0.0043983663210808,0.0019862228394208325,-1806.7341211835528,1986.2228394208325
2020-11-24 09:01:00,FXY1 KMS1 Index,b,350.06,1000000.0,1,2,350.8518314803182,350.15012781735754,350.8518314803182,0.004599211563731971,0.002261987888699635,-1530.0935599260283,2261.9878886996353
2020-11-24 14:32:00,FXY1 KMS1 Index,s,350.51,1000000.0,2,1,350.84498411681176,349.79244916446135,350.49413913269495,-0.003309463353399404,-0.0009557048780684368,2836.757809924414,-955.7048780684368
2020-11-24 16:53:00,FXY1 KMS1 Index,s,352.0,1000000.0,1,0,351.9326852454485,351.2288198749576,351.9326852454485,0.0009374999999999548,0.0001912350981576403,3980.9020323464083,191.2350981576403
2020-11-24 17:02:00,FXY1 KMS1 Index,s,352.06,1000000.0,0,-1,351.6409282043584,351.289287276154,351.9925691325627,0.0011077657217519353,0.0011903419747816505,4983.518036363963,1190.3419747816506
2020-11-25 09:28:00,FXY1 KMS1 Index,b,347.33000000000004,1000000.0,0,1,347.7246959644038,347.3769712684394,348.0724206603682,0.00279273313563445,0.0011363716477233523,-1480.060868886788,1136.3716477233522
2020-11-25 10:01:00,FXY1 KMS1 Index,b,347.25,1000000.0,1,2,347.962527754826,347.26660269931637,347.962527754826,0.003023758099351921,0.0020519157806364254,-561.2617693905868,2051.9157806364256
2020-11-25 12:11:00,FXY1 KMS1 Index,s,347.79,1000000.0,2,1,348.13718388207633,347.0927723304301,347.7890466981943,-0.0014664021392217547,-0.000998257230157015,1612.9536254722036,-998.257230157015
2020-11-25 14:35:00,FXY1 KMS1 Index,s,347.98,1000000.0,1,0,347.96388698170216,347.2679592077388,347.96388698170216,-0.0009195930800618895,4.630443789257475e-05,2662.3078916460117,46.30443789257475
2020-11-25 15:05:00,FXY1 KMS1 Index,s,347.54,1000000.0,0,-1,347.16894766527827,346.821778717613,347.51611661294356,-0.002186798641882759,0.001067653607417141,3695.276636182351,1067.6536074171408
2020-11-25 17:58:00,FXY1 KMS1 Index,b,348.72,1000000.0,-1,0,348.79214798210313,348.79214798210313,349.4897322780674,-0.0012044046799726794,0.00020689373165606764,-2396.4800862286365,206.89373165606764
2020-12-01 09:00:00,FXY1 KMS1 Index,s,352.84000000000003,1000000.0,0,-1,352.3556152970455,352.0032596817485,352.70797091234255,-0.012810338963836246,0.0013728168658726746,-9673.005908471636,1372.8168658726745
2020-12-01 12:39:00,FXY1 KMS1 Index,b,352.9,1000000.0,-1,0,352.9060500853139,352.9060500853139,353.61186218548454,0.012638141116463691,1.7143908512088533e-05,11060.931818181487,17.143908512088533
2020-12-01 18:12:00,FXY1 KMS1 Index,s,354.53,1000000.0,0,-1,354.1169176006125,353.7628006830119,354.4710345182131,-0.007982399232787186,0.0011651549922078888,-9826.162649305108,1165.1549922078889
2020-12-02 09:00:00,FXY1 KMS1 Index,s,358.87,1000000.0,0,-1,358.4516488235082,358.0931971746847,358.8101004723317,-0.0027029286371110075,0.0011657457477409552,-1585.688360032947,1165.7457477409553
2020-12-02 09:09:00,FXY1 KMS1 Index,s,359.35,1000000.0,-1,-2,358.508304091441,358.508304091441,359.2253206996239,-0.001363573118129982,0.0023422732950021366,-404.5766982850895,2342.273295002137
2020-12-02 10:46:00,FXY1 KMS1 Index,s,359.61,1000000.0,-2,-3,358.48213877686715,358.840620915644,359.5575851931978,-0.0006395817691388398,0.0031363455497146015,391.19354203640205,3136.3455497146015
2020-12-02 12:43:00,FXY1 KMS1 Index,b,358.73,1000000.0,-3,-2,358.02936600829173,358.74542474030835,359.4614834723249,0.0030942491567474526,-0.001953095619848596,798.0147141757667,-1953.095619848596
