transaction_time,ticker,transaction_type,price,size,position_before,position_after,modelled_price,max_bid,min_ask,return,expected_return,pl,expected_pl
2020-11-23 15:09:00,IHN+1M BGN Curncy,s,14233.0,1000000.0,0,-1,14217.813638723053,14203.59582508433,14232.031452361776,0.000983629593198904,0.0010669824546439,327.79853218226845,1066.9824546439
2020-11-23 15:29:00,IHN+1M BGN Curncy,b,14227.5,1000000.0,-1,0,14227.634325464816,14227.634325464816,14256.089594115747,-0.0005974345457740291,9.441255653934742e-06,748.5105200601613,9.441255653934743
2020-11-23 15:31:00,IHN+1M BGN Curncy,s,14242.0,1000000.0,0,-1,14226.225098014274,14211.99887291626,14240.45132311229,0.001614941721668305,0.0011076324944337588,368.0293109753686,1107.632494433759
2020-11-23 16:07:00,IHN+1M BGN Curncy,b,14231.5,1000000.0,-1,0,14235.960685907206,14235.960685907206,14264.432607279019,-0.0008783332747777817,0.00031343750885053757,1051.6621641722763,313.43750885053754
2020-11-23 17:31:00,IHN+1M BGN Curncy,b,14218.0,1000000.0,0,1,14235.30172338856,14221.066421665171,14249.53702511195,7.033338022225348e-05,0.001216888689587866,1954.6022336072022,1216.8886895878659
2020-11-23 18:31:00,IHN+1M BGN Curncy,s,14233.5,1000000.0,1,0,14231.483976594753,14203.021008641563,14231.483976594753,0.001018723434151825,0.00014163933011889727,-597.5871141249822,141.63933011889728
2020-11-24 12:57:00,IHN+1M BGN Curncy,s,14260.0,1000000.0,0,-1,14245.710035863249,14231.464325827386,14259.955745899111,0.003681626928471248,0.001002101271861937,430.9338218092985,1002.1012718619371
2020-11-24 17:24:00,IHN+1M BGN Curncy,b,14233.5,1000000.0,-1,0,14234.55153313478,14234.55153313478,14263.020636201049,-0.0018266765026170653,7.38773411163575e-05,641.1606878697087,73.8773411163575
2020-11-30 09:37:00,IHN+1M BGN Curncy,b,14202.0,1000000.0,0,1,14216.850639697404,14202.633789057707,14231.067490337102,0.0017603154485283763,0.0010456724191947897,554.1051313256593,1045.6724191947897
2020-11-30 17:16:00,IHN+1M BGN Curncy,b,14198.5,1000000.0,1,2,14227.652624286127,14199.197319037556,14227.652624286127,0.002007254287424728,0.0020532185995793444,1560.8049445989102,2053.2185995793443
2020-12-01 10:49:00,IHN+1M BGN Curncy,b,14204.0,1000000.0,0,1,14227.336324629041,14213.108988304411,14241.56366095367,-0.0011968459588848211,0.0016429403427936477,1536.6762789433137,1642.9403427936477
2020-12-01 12:34:00,IHN+1M BGN Curncy,s,14232.0,1000000.0,1,0,14225.33304497927,14196.882378889313,14225.33304497927,0.0031618887015177066,0.0004684482167460513,568.8339018261465,468.4482167460513
2020-12-01 15:37:00,IHN+1M BGN Curncy,s,14230.0,1000000.0,0,-1,14215.128948479898,14200.913819531419,14229.344077428377,0.003021784961349262,0.0010450492986719536,1145.2838610331958,1045.0492986719537
2020-12-01 20:24:00,IHN+1M BGN Curncy,b,14198.5,1000000.0,-1,0,14198.55683147691,14198.55683147691,14226.953945139865,-0.0008099447124696271,4.002639497819657e-06,-98.62346351917239,4.002639497819657
2020-12-03 10:40:00,IHN+1M BGN Curncy,s,14234.0,1000000.0,0,-1,14219.033829327147,14204.81479549782,14233.252863156475,0.002142756779541942,0.0010514381532143436,1020.229124535703,1051.4381532143436
2020-12-03 13:34:00,IHN+1M BGN Curncy,s,14223.0,1000000.0,-1,-2,14194.568925587839,14194.568925587839,14222.958063439015,0.0013710187724108838,0.0019989506019940416,1967.0879117726906,1998.9506019940416
2020-12-03 15:10:00,IHN+1M BGN Curncy,b,14206.5,1000000.0,-2,-1,14192.421174729165,14206.613595903893,14234.998438253353,-0.00021117094287825995,-0.0009910129356868543,-957.6591025430077,-991.0129356868542
2020-12-03 16:02:00,IHN+1M BGN Curncy,b,14203.0,1000000.0,-1,0,14205.18467401213,14205.18467401213,14233.595043360154,3.5203830176723225e-05,0.00015381778582898738,187.77002175819229,153.81778582898738
2020-12-03 17:19:00,IHN+1M BGN Curncy,b,14199.5,1000000.0,0,1,14214.68677698917,14200.47209021218,14228.90146376616,0.0002817000598612627,0.0010695289967372471,1102.5806971167626,1069.528996737247
2020-12-07 10:03:00,IHN+1M BGN Curncy,s,14244.0,1000000.0,0,-1,14226.965993782556,14212.739027788773,14241.19295977634,0.004177197416456052,0.0011958723825781857,2304.458044542869,1195.8723825781856
2020-12-07 11:13:00,IHN+1M BGN Curncy,b,14236.5,1000000.0,-1,0,14236.521396255694,14236.521396255694,14264.994439048203,-0.0036525831489481264,1.5029154422517259e-06,-1109.5999936602811,1.502915442251726
2020-12-07 15:18:00,IHN+1M BGN Curncy,b,14190.5,1000000.0,0,1,14206.433101271865,14192.226668170593,14220.639534373136,-0.00042281808251999576,0.0011228005547278019,6.3596560285407975,1122.800554727802
2020-12-08 09:53:00,IHN+1M BGN Curncy,s,14181.5,1000000.0,0,-1,14166.70821395774,14152.541505743782,14180.874922171697,0.00021154320770017275,0.0010430339556647995,524.5518569287451,1043.0339556647996
2020-12-08 10:28:00,IHN+1M BGN Curncy,b,14167.0,1000000.0,-1,0,14172.033123037814,14172.033123037814,14200.377189283889,0.0008117456059857415,0.00035527091394185224,874.2597415252847,355.27091394185226
2020-12-08 17:20:00,IHN+1M BGN Curncy,b,14174.0,1000000.0,0,1,14188.761370655986,14174.57260928533,14202.950132026643,0.00031748271482997034,0.0010414400067719739,1558.310509053843,1041.440006771974
2020-12-08 20:52:00,IHN+1M BGN Curncy,s,14185.0,1000000.0,1,0,14184.618921615773,14156.249683772541,14184.618921615773,0.0004582305252026789,2.6864884330440184e-05,-491.829870426689,26.864884330440184
